                   x                   y                   z
                   0                   0                   1
            -2.64748          -0.0924918           0.0470983
            0.967249            0.571539            -1.74228
            -0.36883           -0.303479           -0.299062
            0.612405          -0.0978605          -0.0820767
          -0.0127886              1.9864           -0.648231
             0.19153            0.390622           -0.540913
            0.641709           -0.612858             1.44297
          -0.0194803            -1.49606           -0.871635
            -1.40866            -2.30912           -0.431565
           -0.237039            0.153694           -0.781079
            -1.11557           -0.690693           -0.621554
            0.511768            0.270393           -0.446075
           -0.127581            0.221079           -0.293745
            0.216415            0.351014            0.418386
             1.03902            -1.16435            0.922707
            -1.61769           -0.254712          -0.0177618
            0.481947             1.08911           -0.699516
            -1.24669            0.792454             1.07286
           -0.451472           -0.028055             -2.8091
            0.505581           -0.275577           -0.427017
            -1.33754           -0.150294           -0.678451
          -0.0403538            0.437381           -0.443929
            0.142529            -0.24916            -1.34353
            -1.12611             2.33253            0.352624
           -0.480325           -0.393089           -0.514646
           -0.179405           -0.359581            0.483769
            0.540935            0.952227            0.105418
            -1.05011            -0.90995             1.57137
           -0.909353            0.449402            0.592215
            0.567109            -1.94298            0.825059
            -3.92988            0.660336           -0.862907
            0.745389             1.57303             1.30125
            0.785605            -1.57204           -0.376182
           -0.776082             1.76215            -1.78611
            -2.32487             3.24734            -2.34904
           -0.934221           -0.246951             2.33769
            0.384858           -0.208639           -0.565632
            -1.07638           0.0954237            -1.51604
          -0.0158682             1.42424            0.549642
            -0.50016            0.949744            0.590221
           -0.135333            -1.62185            -1.13733
            -0.37057           -0.280192            0.506823
           -0.485217          -0.0198274            -0.41083
             0.69775            -1.48163           -0.884927
            -0.61483           0.0176512           -0.222956
             0.74302            0.398047           -0.950447
           -0.610664          -0.0992155            -0.14133
           -0.937373            0.286386           -0.369241
             0.13229            0.816689           -0.385089
            -1.87225             1.86487           -0.209073
           -0.478731           -0.217945             -1.1085
             -1.8854            0.451846            -2.69871
            0.435256            0.594698           -0.962715
            0.483355           -0.289555           -0.374464
            0.730396           -0.097643            0.480876
            0.653806            -1.38807            0.737147
           -0.964215            0.326683           -0.832794
             2.03353             2.24758            0.318154
            0.861588            0.308673           -0.135658
             2.96938            0.944637            0.102863
            0.800127           -0.826922            -1.96304
          -0.0107372           0.0930269            0.328559
              1.6594             1.67288             1.35173
            -1.74832            -3.04008            -2.67915
            0.348482           -0.240031            0.875812
             -1.0343            0.379901            -1.04928
           -0.479718           -0.164293           -0.188646
          -0.0747042            0.834149             0.41047
           -0.679541            0.357982             1.01825
            0.326787             -1.5163            0.345994
            -0.41389          -0.0811297           -0.349431
             1.56599             1.44281           -0.146534
            0.431788            0.351863           -0.333494
           -0.895198            0.503827            -2.24397
           -0.227344           0.0982477           -0.702742
            -1.36823           -0.738943            0.266345
           -0.371732             1.26234            -1.30858
             0.55713            -1.58113           -0.783554
           -0.262231             -1.0457           -0.932229
           -0.353254            0.909417            -0.42644
            0.119863          -0.0271809            0.429727
            -1.94972             0.72789            0.996232
            0.599722             1.21679           -0.232957
            0.367832           -0.169875             0.26472
             1.24148            -2.24814              2.6756
            0.240692             1.16035            -1.41145
            0.390347           -0.100112          -0.0173784
           -0.430891             1.15749            0.917957
           -0.947536           -0.137727           -0.547447
             2.46351           -0.784568             -1.2434
            -1.87987           -0.568626             1.68668
           -0.537115           -0.103284             1.77551
           -0.495791            0.584702           -0.488095
           -0.388093            0.474339            0.478965
            0.607964            0.345804              1.2286
           0.0783147           -0.753147            -1.16557
             1.66349            -1.00365             1.04222
            0.816246           -0.376115            -1.07139
           -0.936242           -0.239538            0.766222
            0.667699            -0.28454           -0.204978
            -1.41433            0.356581            -1.23155
            0.100834             1.19985            -0.47748
           -0.953141           -0.049118           -0.874887
              1.9759             2.66877            0.519472
            0.336841            0.221646            0.121715
            -1.81032            0.755408          0.00124704
            -1.28736            -1.33886            0.392929
            0.251547           0.0448516          -0.0136629
           -0.113414           -0.115997           -0.112414
           -0.694023            0.253235             0.38505
             1.77928             1.84832          -0.0446096
            0.889865           0.0168941            0.510367
            0.657625           -0.690961           -0.589933
            0.123971            0.413585           -0.831807
            0.485565            0.600978            0.304355
           -0.184038            0.429727           -0.875324
             2.22747           -0.548609            -1.25864
            0.685299            0.861066            -2.04569
            -1.96806            -2.65292             1.64597
           -0.248142             1.76084           0.0686918
           -0.876187            -2.15181            0.761215
            -1.24266            -1.32044            -1.23521
             0.14577            0.188281            0.320043
            -1.04342           -0.137805           -0.788954
            0.687397             1.05007             -2.0578
             -1.6703            0.708007           -0.209132
            -0.11074           -0.109238           -0.497192
            -2.74004          -0.0545842            -0.64801
            0.696583            0.180765             1.10513
            0.937942             -1.4213             1.27112
            0.565132           -0.977093            0.474839
            0.125791             1.13167            -1.09637
            -1.25637            -4.07812            -2.87121
            0.751167            -1.09868            0.519062
           -0.238498             0.33842           -0.562958
           -0.966558           -0.141274            -0.77639
           -0.104657           -0.460935             1.34218
             1.62254            0.461115           -0.234794
              0.6008           -0.263379            -1.36853
            -1.27244            0.706014            0.306173
            0.565453            -0.36222           -0.456278
           -0.339103           0.0162019           -0.543918
            0.316607             1.09835           -0.884134
            0.192403            0.972621           -0.178744
         -0.00256041          -0.0539734            0.686538
            0.238783            -0.28539           -0.097059
             1.85384           -0.594663           -0.446199
          0.00643806           -0.329756           -0.179427
           -0.743956           -0.440909           -0.104562
             1.72184            0.192595           -0.700444
            0.711845             2.90563             1.28081
           -0.861529            -1.14937           -0.704704
           -0.412832            -1.78989           -0.357529
            -1.95789          -0.0416735           -0.687025
            -0.29864            -1.08643            0.446214
            0.829627           0.0144176            0.732799
             1.45029          -0.0729494             2.12741
           -0.929406           -0.856591           -0.294114
            0.378056          -0.0729024           -0.230225
           -0.579202            0.620903            0.542778
           -0.234002           0.0721354            0.685744
           -0.206807           -0.467165           -0.337865
            0.947772           -0.272303           -0.292237
            0.878007            -1.59713           -0.277402
            0.140135            -1.07613            0.864623
           -0.525818            0.538446           -0.152977
            -1.01041            0.857547             -1.6687
            0.182519           0.0899214             2.18663
           -0.119595             3.58954           -0.633064
            0.442945          -0.0684558            0.295209
            -1.13635             0.54285            -0.47236
             0.21445           -0.935939           -0.213448
           0.0696044            0.321117            0.452281
             0.36316            0.454809            0.343001
          -0.0188648           0.0364586            0.165029
            -1.23475          -0.0782418             3.49819
           0.0611654           -0.838111            0.219415
             2.23357          -0.0891332             0.74956
             1.03912            -0.61898             1.19747
           -0.304839            -1.22166            0.800879
           0.0635703            0.546343           -0.239177
            0.711081           -0.510847             1.88197
           -0.565692          -0.0348827            0.683386
             1.38926            -2.94846             2.11826
             4.08743            0.273356             1.78231
            0.202163            -1.19416           -0.489642
            0.797231            -0.25906            0.491404
             1.20582           -0.481093             1.36449
            0.300964         -0.00366611           0.0277583
           -0.842044           -0.730574           -0.771055
            -1.07367            -2.95017            0.820427
           -0.898236            0.726032           -0.700227
            0.624898             1.88312             1.29059
            0.152643            -1.04228             1.03921
            0.671411           0.0939511            -1.82591
           -0.957674          -0.0960039            -0.13938
          -0.0203479            0.047039           -0.328949
           -0.914036           -0.861228            -0.76571
            0.442753             1.21926              -1.498
            -1.09479           0.0129124            -1.21249
            -1.29829            0.224933            -1.34437
            -2.02858           -0.264431            -2.05197
           -0.305273             2.04998           -0.198416
          -0.0379898           -0.143952            0.453723
          -0.0377506           -0.286874            -1.21274
            -1.34419             -1.3327             1.76021
             0.52039           0.0847237           -0.619634
             2.54441            -1.05632            -2.48194
            0.249567           -0.362661           -0.340475
           -0.713649            -1.50629            0.372401
            -1.12348             1.10051             -2.3559
           0.0533012           -0.503686            0.205823
            0.167674            -2.94246             2.36383
           -0.102812           -0.207502           -0.267162
            -2.01489             1.84795           -0.115519
           -0.630049             0.51037             1.38533
           -0.210613            -1.23269            -1.44624
            0.470198            0.270175           -0.374386
           -0.424111            -0.77084            0.856026
            0.128861           -0.421045            0.275034
           -0.350073            0.218597            0.268403
             1.28988            0.670735           -0.617943
            -1.35503             2.52206            -1.04149
           -0.838162             -0.1398            0.540238
           -0.358733            0.222973           -0.187705
             1.08553             0.40691            0.133962
             1.02526            -1.08211             0.12241
            0.572556            0.798947           0.0926587
            -2.64658            -1.24984            -1.16073
            0.629085            -1.68445             -2.2447
           -0.384032           -0.498706             0.28885
             2.65412           -0.377596             1.17279
           -0.656564           -0.288221             0.49905
           -0.327439             1.22648           -0.141369
            0.728267             2.05029             1.55579
            0.537043             1.87846             2.46761
            -1.14768            0.415806             1.32891
            0.127731            0.473615            -0.64013
            0.563796            0.547783             1.01372
            0.925517           -0.922592             2.08236
            0.676737             1.92275            0.731208
            0.585708            -2.18203             1.52364
             1.27908            0.127921            0.496677
            0.510396            0.523373            0.523539
           -0.392154            0.419223            -0.98809
           -0.140311            -1.01809            -1.53447
             0.78415             1.71787            -1.82695
             1.57147            0.129401            0.427672
            0.575485           -0.339457            -0.34827
             1.93206           -0.367683            0.222846
            0.686646            0.698972             2.49342
            -1.37429            -1.02057          -0.0138343
            -1.61076             1.18211            0.594592
           0.0892586           0.0693113            0.105843
            -1.25412            -1.74095             2.08817
            -1.53927             1.64373             2.35724
            -1.06056            0.367027           -0.616799
            -1.38396           -0.250198            0.163278
            0.721169            0.944387            0.149394
             -1.2415            0.347432           -0.467018
            0.186055           -0.314967           -0.143085
            -1.71374            0.289259            -1.83095
            0.373362            0.908719           -0.447186
             1.31582             1.13428           0.0746199
            0.055797            0.781232            -1.11347
           0.0755389            0.181724             1.10514
            -3.08814           -0.390671           0.0226648
            -0.26703           -0.377523           -0.398041
            0.196752            0.376128            -0.57217
            -1.07806             1.01106            0.456631
            -1.11289            -1.59003           -0.937664
             1.02857              0.2845           -0.763266
             1.16453             -1.0113            0.629179
           -0.341885            0.342362           -0.330143
             2.05621            -1.49125           -0.112987
            0.939169            0.210939            -1.76093
            -1.60037               1.644            0.166714
            -2.18268            0.139749           -0.566876
            -1.34516           -0.400952           -0.779725
             1.37236            0.580339            0.733512
           -0.283567          -0.0327265           -0.941847
          -0.0364785           0.0267184             1.60673
           -0.203617            0.101997           -0.688834
            0.220906            -1.29612             0.31387
            -1.21114         0.000699195            0.550952
             -1.0081            0.846939            0.170384
            0.852638            0.777174            -0.72809
             1.04845             1.87313            0.335265
             0.13149             1.19237             1.27062
           0.0272129            0.283886             0.43202
             1.04784            0.387548             1.27148
           -0.641152           -0.559143            0.791534
           -0.968213            0.553187            0.853355
           -0.110557           -0.515551            -1.18682
            0.048658            0.751245            -0.03303
            0.269142           0.0844397           -0.437631
           -0.407925            0.423111          -0.0946206
            0.170284           -0.785272           -0.971999
            0.268615           -0.846806             1.09117
            -2.33657           -0.549439           -0.840708
           -0.415863           -0.108236            0.503044
            0.429223          -0.0168698            0.239052
            -5.90948           -0.560599            -1.01225
           -0.618347            0.215629           -0.325777
            0.265529            0.765305             2.03452
            0.697788            0.144068           -0.815733
