                   x                   y                   z
             1.14285            0.451334            0.484875
           -0.235292            0.130835           -0.587114
              1.7172            0.175306             1.14174
             1.22366            0.311494             1.65573
            0.246337             0.34869            0.849919
            -1.07723             1.97386           -0.451041
            0.366146            -1.39936           -0.341523
           -0.207511           -0.502399           -0.667413
            0.176242             1.82116            0.178564
          0.00119859           0.0396399           0.0128637
          -0.0952133            0.156837           0.0510553
             1.22706           -0.390453              3.8212
          -0.0370071            0.793516            -0.58243
           -0.481866            -1.88941            0.504276
           -0.593991             1.78942             1.16234
           -0.433757             2.36185            0.186694
             2.50373           -0.987632            -1.67073
            -1.69252           -0.373004            -1.92837
            -1.31729            -1.38603            -0.92238
            0.685973           -0.126589            0.913437
            0.528734           -0.855739            -1.46812
             1.08621            -1.65108           0.0925332
            -2.66574            -1.62397             1.20759
            0.246167            -1.44946            0.197739
            -1.93531            0.290689           -0.115336
            0.645622           -0.544952           -0.598636
           -0.565184            0.540179            -1.07331
          -0.0797875           -0.443458           0.0468602
            -1.67162           -0.763431           -0.982981
            -0.87802           -0.656809           -0.356442
            0.233608           -0.739982           -0.457288
            0.752398            0.326565            -1.79459
             1.57984            -1.28326            0.029149
           0.0161865            0.563436            0.606148
           -0.729243            0.608152            0.426236
            -1.43133           -0.858575           -0.806805
            0.501251            0.700502            0.133225
           -0.289099            -0.49711           -0.677141
            0.990216             1.15991           -0.722149
           -0.319885            0.558033            0.940886
            0.184623           -0.961001            0.952034
            -1.12023           -0.316964            -1.64011
          -0.0890052             1.59411            -0.28511
            -1.27132            0.382622           -0.246872
           -0.554241           -0.671549            -1.51269
            -0.43811          -0.0175227             -1.4118
            -1.30348            0.799771           -0.695603
          -0.0183926           -0.188446            0.549212
            0.647091             0.60506            0.603841
         -0.00513632            0.763244             1.81767
           -0.730154           -0.678369            0.543517
          -0.0859034            0.245751               1.937
           -0.614556              1.7674            -2.12253
            0.747045           -0.601324            -1.05972
            0.353361             1.12104            -1.31855
            -1.58059            0.873636           -0.183594
            0.383209            0.783701            0.250162
            -0.16647           -0.705104            0.380496
           -0.430759             1.42961             1.61255
            -1.45125            -1.76871            0.503556
            0.685065            -1.04153            -1.55035
             2.02895             2.12997           -0.132024
            0.245917            0.305237            0.273066
           0.0971739             1.32062             1.12582
            0.149192            0.116277             1.29393
            -1.12788            0.775212            -1.55883
          -0.0582119             0.50324            -0.50875
           -0.196974           -0.171946            0.749928
           -0.559553            -1.08343            0.362436
             1.43331             1.30287            0.687154
            -1.43852           -0.674731            0.628921
             2.77086             1.13016            -1.34756
           -0.500179            0.365565            0.177492
           -0.361143            0.406847            0.129632
             1.36156           -0.804867             0.51144
            0.373244          -0.0723269           -0.393856
             1.29746           -0.559954            0.658961
           -0.503503           -0.766557            -1.42818
            0.268228            0.133611            0.447864
          -0.0888746            0.239526           -0.682385
            -1.55267            -1.53411           -0.977162
             1.11206             1.40197             2.20103
           -0.357548           -0.961978           -0.643892
            -1.94982          -0.0313137            -1.76133
           0.0648469            0.217737            0.411481
           -0.401252             1.88892            0.255176
            0.285358             1.56497            0.629236
            -1.03303           -0.152552            0.923947
            0.731643             1.57661              1.0311
           -0.604029             0.72545            -1.03464
            0.814582             3.40159            -1.24666
           -0.740201           -0.326612             0.39973
           -0.389991           -0.154753            -1.14731
             1.31525           -0.382514            0.839817
           -0.769407             0.97104          -0.0366805
            -1.31116            0.988735           -0.531226
           -0.371405            0.131477            -2.01185
            0.628505            0.315092            0.346651
           -0.434661            0.632754           -0.334739
             0.29977            0.361402            -1.48489
           0.0345349             2.07521             1.14131
             2.28117           0.0236663           0.0981254
            0.987074            0.266913           -0.943214
            -2.24476            -1.71161           -0.890677
            0.717302            -1.49209            0.901282
            -0.68975             1.62005            -3.12594
          -0.0295925            0.167988            0.377795
            0.709323            0.424133            -1.53639
             1.18784           -0.314538            0.266997
             1.42679             1.01646           0.0258011
             1.78153            0.498961           -0.572221
           0.0588675            -1.05662            0.246957
           -0.412093               1.167            0.502051
             1.03436            0.336316           -0.706277
            0.680871            0.257922           -0.234825
            0.345763           -0.990367            0.701016
            0.127448            0.972724           -0.199067
            0.123478              0.6413              1.6651
            -1.67317           -0.151449             0.47936
             -2.3989            0.557812            -1.22896
            -0.24192            0.291966            0.293108
           -0.236037           -0.140267           -0.531515
            0.323185           0.0637979           -0.284376
            0.466155            0.391436             0.27458
             -2.2651            -1.14181            0.833554
            0.866795            0.532248            0.906115
           -0.639668            -2.66406           -0.176224
            0.677213            0.127307            0.126263
            0.890722            -1.16561            0.848292
           -0.805649            0.806618             2.16731
            0.882862             2.07268           -0.998452
            0.571192           0.0835063           -0.510492
             1.03998           -0.803585           -0.247236
            0.266835            0.112665            0.737987
           -0.588471             1.09115           -0.540274
           0.0717494            0.451079            0.143025
           -0.935736           -0.646196           -0.143876
            -1.02935             1.02414           -0.656342
             0.58479            0.988039            0.822322
             1.65923            -1.75876            0.653318
            0.334218          -0.0747432             1.13741
           -0.721861           -0.122362            -1.20354
            0.278603            0.278492            0.136852
            -1.19678           -0.663427            -2.51471
            -1.20739            0.258394           -0.195888
            0.385926            0.432882          -0.0892424
           -0.147811            0.176497            -4.90375
             1.12733            0.349976            0.481193
        -4.09768e-05            -1.98694            0.627566
            0.480759           -0.361188            0.138831
             1.92082            -1.62336            0.162592
           -0.490532            0.465827           -0.772006
           -0.101903               -1.03             1.78205
            0.156999          -0.0405161            -1.22198
             0.46704            0.952457           -0.873648
             2.86892            0.190264             2.04188
            -2.82483            0.636012           -0.984051
          -0.0312403           -0.463435            0.317086
             1.26597              1.7519           -0.356604
            -1.18915            0.935997             1.01443
            -2.19131           -0.982435            0.854002
            0.300134           0.0654525           -0.126964
           -0.554267           -0.253148             1.46635
            0.474851             -0.4889           -0.180605
            0.334243           -0.200965           -0.440409
             1.45509            0.341399             1.02338
          -0.0785024          -0.0419335           -0.039715
            0.605805            0.303802            -0.42354
           -0.468766            0.427665            0.481602
             3.48403            0.395635            0.413143
             1.18556            0.475659           -0.643042
            -0.27601            0.356784            0.711839
            -1.36607            0.576168            0.356317
           -0.106235           -0.910222             1.77588
           -0.547707            0.828334            0.669259
            -1.07668           -0.498991            0.388432
            0.586326             1.93746             3.97331
           -0.337564             0.77703            -1.97978
            0.712644             0.13101              1.2385
             2.80564           0.0333124              0.1236
            0.419862            0.683104             2.05845
            0.105835            0.899452             1.41963
           0.0225637            0.311345             0.65234
            0.791817            0.960829           -0.760259
            -0.67795           -0.667891            0.127873
            0.105871             0.65493           -0.253724
             1.17009            0.244746            -1.54815
           -0.475186           -0.567506             0.33323
            -1.13443            -1.38583           -0.472723
             0.94521           -0.938862            0.501255
             1.49158            -2.14456             1.50575
            0.267492            -0.14291           -0.616014
           -0.430682            0.193536             0.45103
          -0.0293588            0.212818          -0.0918783
            -1.79922           -0.491574             -0.8606
            0.256197             1.09781          -0.0052532
            0.161618           -0.560016            0.569724
           -0.553077             1.59312            0.609176
            -1.65618            -2.63796             1.42007
           -0.386672            0.450344           -0.265302
             0.85916            -1.28215           0.0519999
             1.14845            -1.13592           -0.470192
           -0.345018           -0.522482             1.05862
             1.03155           -0.874298            -0.64836
            0.723323           -0.422807           -0.336679
            0.557138            0.470644           -0.515626
           -0.274371            0.249431             0.36579
           -0.117148            -0.30067            0.263114
           -0.105384            -1.51989           -0.355755
           0.0961618           -0.278012           -0.613065
            0.138245            -1.35793           -0.771029
            0.918521            -1.11365             2.81951
           -0.181571           -0.114637            -1.07701
           -0.816461            -1.93623             0.58457
           -0.322698            0.762932           -0.201796
           -0.896443            0.156462           -0.265701
             2.77975             -1.1701          -0.0957156
            0.207711           -0.290641            0.620879
          -0.0505193           0.0637995             0.73269
            0.801063           -0.126362             0.67722
           0.0714464           -0.503649            0.369301
            0.388363            0.419282            -1.35834
            -0.82512            0.327986             1.01954
           -0.168651            0.852974          -0.0761486
            0.298379           -0.278008            0.519275
            -1.11958           -0.167114           -0.419492
           -0.673998            0.187059            0.570954
           -0.412407            -1.34395            -1.94215
            0.749342           -0.660712            -1.26033
            0.183569            -1.31704            0.680198
            0.181158             0.33788            0.907227
             1.84666              1.2148             1.45713
            0.647082           -0.239912           -0.150633
            0.380118            0.267404           -0.110897
            0.185844            0.376509            0.107245
           0.0773607           -0.385319          -0.0702531
           -0.337047           -0.832591            0.706073
           -0.293194            -2.00561          -0.0639483
            0.181284            0.119932           0.0291371
            0.760624            0.550368              0.7758
            0.525119           -0.380736            0.893752
           -0.573157            0.958552           -0.137506
             1.80472             -1.0786             1.64729
            -2.75329            0.568048           -0.162055
            0.904009            0.432689          -0.0822065
           -0.749305            0.233815           -0.426201
           0.0227633            0.372143           -0.553843
           -0.992601            0.902499           -0.807962
            0.798886            -1.40887            -1.19895
             1.04409            0.709335            0.279478
          -0.0357052             0.23498           -0.566546
              0.1291           0.0923039           -0.105945
            0.549291           -0.780157             1.58163
