                   x                   y                   z
                   0                   0                   1
              2.6076             3.47267             3.87034
            0.459921           -0.664389             6.81508
              1.2006           0.0140061             5.90956
           -0.859777             -2.3549             2.79424
           -0.588346             1.69441             2.43147
            0.868972             1.53709            0.895379
            0.180297           0.0166995            -1.32269
            -1.43015            -6.57524              4.9209
           -0.906914             2.31587             3.65444
            -1.13306           -0.644845             1.07319
             4.27816             4.15084             4.39729
            -4.01351            -7.78243             5.41181
            -1.78959           -0.170182              4.3607
              2.0223              1.7358             3.02499
            -1.54864            -4.06046             4.64047
           -0.860557              1.0773             2.72634
             -1.7423            -2.96059             -2.4178
             1.98492             -3.9949            -4.42213
             2.12181            0.361518             1.45067
             1.99444             1.79391            -3.59821
           -0.776034            -4.61193            -3.39618
             0.90756           -0.525374            -4.95195
            -3.62068            -2.30885             2.31225
           -0.228049          -0.0434937             1.54048
             0.24872             6.15984             2.26151
             2.05854             1.66703            -1.61424
            -2.09789            0.279886            -2.34697
           -0.758455             1.15979            -5.69668
             3.05838             2.31826            -4.24161
             1.98661              2.9042            -3.00962
             2.71423             1.39259            -3.04595
           -0.321643             2.24461            -4.32467
              3.6141           -0.750635             -4.0636
           -0.770144           -0.970463            -2.31797
           -0.641247             -8.0744             8.68591
            -1.30286            0.339107            -2.53577
            -1.34311             3.92193            -6.15659
           -0.815365            -3.36721            -6.24531
            -2.11171             3.94169             2.99058
            -3.10904            0.822822             3.15647
             0.69333           -0.465872            -2.05419
             -1.7372             -2.0593            -3.66626
           -0.366501           -0.214827              2.3238
            -2.09914            -5.14896             -2.5674
             2.19531            0.160127             3.29359
            -2.71214            -4.83735             2.90503
            0.125054           -0.649714             -3.0367
          0.00626188               1.174             4.13661
            0.333924            -2.19806            -6.71384
               1.927            -2.85392             6.61223
             -3.3598             1.95826            -4.50325
            -4.39572            0.749062             1.65962
            -1.48502             1.64714             3.62324
            -3.96804             1.56536             3.31025
            0.491376            -3.37244            -4.24344
             2.69248             4.06949             1.76736
            -2.52615             5.29373             2.89855
             1.38093            -2.75354             -5.6936
             2.78009             -2.3023             2.15583
            -1.15088             3.46494             3.42168
             2.74773            -1.09869             3.49957
            0.805397             3.07372           -0.545467
             1.20739           -0.535859            0.785071
             1.50744           -0.710909             2.78256
             -2.0444             3.54634            -3.99478
          -0.0825405            0.078741             1.19094
             2.18805             1.81586           -0.682736
             2.55883              3.9436            -4.29786
            -1.27972            -1.05958            -1.57112
             4.14745            -3.95401             7.95362
             4.55492            -1.11665             3.17767
             1.69523             5.67877             4.91733
            -4.83061             2.55376             3.52404
            0.591255            -2.48649             3.64765
             2.93276            -2.27281              5.9671
           -0.146145            -1.23172            -5.02388
             1.05174            -2.01964             2.34901
             3.60103            0.204459             3.78922
            -1.46174           -0.416894              1.4919
           -0.905783             1.50379             3.98026
            -2.96096           -0.353216             -5.6831
           -0.268969            -3.47302             3.67661
            -1.94358             3.60907            -7.12334
             1.89677             1.86042             3.54757
           -0.120754            0.697655            -2.70733
             2.94233             2.25105             5.86651
            -6.36128            -1.95321             7.37648
          -0.0470862            -5.47498            -4.30924
             0.11267            -4.09063             2.61307
             1.21028             0.37074             -4.1377
            -3.65284            -1.04222             5.76672
             9.63138            -2.66013            -9.69046
            -3.68144            -3.83288            -8.77185
             1.37351            -1.07263            -4.31223
             2.02572              1.4507            -2.45478
            -2.09936            -0.45451           -0.733485
             1.80907            0.539914             1.95308
            -1.37514            -3.14988             6.88035
            -1.07813           -0.457864             3.90884
           -0.218728            0.030169             3.06853
            -2.85708            0.935871             4.81524
            0.405456           -0.100118             2.89749
           0.0317978            -0.88559            -1.93895
            -1.59898             0.14213            -1.19744
            -2.02284            -4.55932            -3.68922
             5.23345             1.97859             4.35127
            -2.52677             1.05345            -4.25696
           -0.199795           -0.345745            -4.50681
          -0.0768614             1.78874            -2.34001
             1.09696             1.52808            -5.61414
          -0.0111499             4.26245            -3.44077
             2.95599            -1.93585            -4.03299
           -0.551563             1.08217             2.11259
             2.96416             1.19362            -5.74947
           -0.584596             -2.9613            -1.37032
             2.90685           -0.394543             1.48905
           -0.564848             4.15773             1.87025
           -0.930253              1.9876             1.84244
            0.447316            -1.64816            -2.39939
             1.04819           -0.666395            -2.82516
            -5.00924             3.35144            -3.60307
              1.5131           -0.954875            0.506298
            0.515001             1.07931            -2.77424
              5.3401             4.13594             -4.1613
             1.68136             2.81563             1.95154
            -3.30133             6.08393            -6.08178
            -4.86283            -1.52318             6.63725
            -3.48715            -2.87966            -3.39391
           -0.377838             0.29087             3.00984
            -1.42908             7.49385              8.7331
             0.13589             1.87549            -1.12516
           -0.423488            -1.53898            -4.05014
            -0.27486            -4.08956             3.23504
           -0.170266           -0.333242            -3.13016
            0.125924             2.45408             2.95445
              5.2259           -0.361502             7.25655
            -3.15148            -3.02248            -3.61783
             -2.1045            -2.71488            -5.65974
            -4.03034             4.81029             2.41148
            -2.96614            -1.54399            -2.99319
             1.59189           -0.064669            -2.71828
           -0.377139            0.797903             2.98604
            -1.68358            -1.29604            -5.06475
            -2.93437             4.57137            -3.43335
           -0.916592            -1.90087            -4.44661
           -0.315173           -0.665724             6.01189
          -0.0297382             2.34695            -1.38029
             5.33419         -0.00365499            -4.83232
            -3.21405              7.7536            -7.22929
           -0.713049           -0.850704            -3.47846
             3.46527             1.72395             1.20371
             3.13938             1.42224             2.22612
            -1.20802            -2.12701             3.08349
            0.138108            0.840676             2.00482
             5.59398             3.03786             3.09412
           -0.108199            0.903281            0.548984
            -3.10684            -3.87181            -5.84373
            -2.60331            0.176128             4.70887
            0.290669          -0.0650365            -3.22071
            -1.13869            0.197202            -8.53605
            -1.50362            -1.45644             2.48518
             4.95494             -1.4419            -2.67706
            -1.04114            -4.86452             4.03432
           -0.361576            -1.70794            -2.62908
            -1.51068             2.01003            -2.40416
            -2.65044           0.0777549            -2.79329
            0.990773             2.31571            -4.30829
             2.93125            0.409067            -1.67559
            -2.07527            -2.27713             2.23413
             1.38513            -1.01695            -3.61673
           -0.826576            -1.28409             1.43268
           -0.597645           -0.826195            -3.53559
           -0.559089           -0.835455            -4.98169
            -1.83387            -0.84879             3.22108
            -3.42203            -3.35433             2.00338
            -1.04113             3.23137             1.57395
             1.35224             0.60789            -3.00419
            0.557741           -0.878897            -1.72149
             2.98771             5.86433             1.44393
             4.21994             5.36677            -3.01965
           -0.792025           -0.488474            -6.73461
             6.45574           -0.709999            -2.64074
             -3.4908             4.71157             7.73352
            -1.49746            -2.63795            -8.72932
             2.13454            -6.21973            -5.52581
           -0.866907            -1.90336            -4.83767
            0.735195             7.62077              1.0188
             1.12928            0.248105             -1.1599
            -0.71832            0.863399             1.11975
             4.34074            -1.23499            -3.65295
             4.54049           -0.915084            -4.14484
           -0.169697            0.447914            -2.00717
             2.24933           -0.909993             1.79494
             5.61172             1.62729             2.24596
             4.29166           -0.918324             11.1305
             1.29674            -1.75143            0.683195
             1.86248             -2.3396            -3.23472
              1.9808              1.7043             2.47663
              2.3635             2.36001            -4.00005
           -0.732335             1.42039            -6.53843
            -3.13231             1.73103            -4.00224
             2.09352             1.02743             2.22299
            -1.30843             1.22341             -3.7448
             1.23167             2.02408             1.99371
            -1.37401            0.508833            -2.55977
          -0.0602979           -0.371424            -2.34995
