                   x                   y                   z
                   0                   0                   1
            -1.30841            -1.11541            -2.72098
            0.599635             1.44698           -0.890021
             3.72121             3.16663            -5.37128
           -0.404962             2.19976            -4.12025
            -5.58024            -2.59269             2.29495
            0.247946             1.71177            -5.56712
           -0.630933            0.223629            -3.32158
           -0.950438            -1.34991            -2.27004
             5.13801             4.59304             5.42826
           -0.706136             2.12655             2.19422
              2.9019           -0.294656             4.60906
            -3.81892             2.70345              1.6957
              3.8124             4.96691             5.73172
            -3.46996            0.527442             5.07983
             3.34236           -0.799132             4.63425
            -1.76674             4.62134              2.9283
             4.39353            0.892616             1.95008
             -3.3756            -3.57396            -3.67468
             1.18925            -1.12992             3.89276
          -0.0301624             1.30554             2.53501
            -3.81725              6.2151            -3.46395
             1.81389             5.13152             5.82441
             1.00577            0.641495            -4.33867
             2.93639            -2.79549              4.3512
            -1.92415            0.913212           -0.238117
           -0.611256           -0.883627            -3.30943
            0.908526           -0.434028              5.4687
            -1.13032             3.56888             -9.5711
           -0.571832          -0.0116941            -1.74656
            -1.20682            0.355114             2.05202
             7.52335             3.49557             6.46914
            -5.15965            -1.48108            -3.34799
             1.50345           -0.941893            -5.53579
           0.0645835           -0.615958            -3.95952
            -1.38449            -2.61869            -6.11381
            0.962129            -1.18107            -2.23914
             4.50877              -3.747             5.11495
            -6.95405            -2.25504            -3.11642
             0.43138            -3.34429            -1.36686
            -2.36889            -2.03593             3.37351
           -0.758943           -0.795825             -3.3067
             2.70304            -3.48921             7.50038
            -1.42566            0.122082            -3.23882
             3.77374             4.52658            -5.55507
            -1.14839            -3.66898            -9.87932
             0.98505            0.622044            -1.88473
             2.76515           -0.721291            -3.27777
           -0.327061             1.38885            -5.56742
             1.03235            -2.49606             4.12393
             2.69251            -1.33592             3.65946
            0.468204           -0.398684             4.94656
             2.11001             1.11523              3.7368
             0.32397            0.033366             4.53738
          -0.0305701              2.4323             5.11014
            -5.94167             1.69317            -7.89191
            0.337184            0.542522             7.24128
            -1.88069             14.6308             7.36984
             4.05343           -0.195521            -3.36271
            -0.40601            -3.14665             -3.4173
             1.48512             1.67395             4.18044
            -3.45298             1.74764              1.6966
            0.102529            0.620605             4.65032
            0.871996           -0.812797             4.90238
           -0.460654            -3.47304            -5.69255
            -2.65899             1.22035            -2.06806
           -0.472906             1.71874             4.40523
            -4.20703             2.16292             4.06864
             1.24736             4.92753            -3.55606
            -1.98326              1.1441              2.4171
            0.760239            0.700813             8.37899
             2.60997             4.17036             6.08491
             4.63661           -0.280773             2.64809
              5.0425            -1.77022             3.61725
             1.70856            -3.52901            -2.62231
            -1.64205            0.388012             2.88444
            0.383422             2.69148              2.8546
           -0.505921             2.43295            -2.78699
           -0.838962              1.1272            -1.48502
             1.22652            -1.45856             4.47423
            -1.24814             0.34565             2.38605
             1.32534            -1.84574            -5.13393
            -3.24462            -1.34143             4.07527
           -0.234082             2.38813              6.2598
              1.1272            -1.68392             3.85135
             -1.2998             -0.8977            -3.91183
            -3.56899            -2.78281            -4.17902
             1.85623             3.07177            -1.72574
            -5.19047           -0.164601             3.52741
            0.692588             -1.6926            -1.10235
            -4.87133             1.60699             1.09223
             2.24885             2.03372            -2.51362
           -0.266159           -0.344759             -5.0207
            0.830569            0.206172               -1.25
            0.304333            -6.62413            -6.65442
            0.816327            0.568316              3.6429
             1.18785            0.498453             1.64264
           -0.436524          -0.0442984             1.48557
           -0.516567            -1.74222             1.74689
            -2.33482            -2.92518             3.88966
             1.69464            0.430576              2.2632
             3.93749            -1.00839             -4.1863
            0.063381            -1.37024             3.41679
            -1.06232             2.06331             4.93066
             2.58425            0.291946            -3.75454
             1.54211           -0.256706             1.54677
            0.975101             3.30983            -5.39568
            0.351893             1.01472             2.17418
            -4.36887            0.845786             1.77952
             1.78841            -3.40183            -4.24344
            -3.08237            -2.20326            -3.93931
            -1.45792              1.4796            -4.54415
             2.14876             2.14184            -3.05239
            0.191518             -1.2718              1.2314
             2.72165             1.97684             2.10081
            0.636873            -1.24594             2.54508
           -0.506927            -1.85751            -3.26937
             -1.0302            0.664974            -2.94406
             1.37155        -0.000381508             -4.0248
             -1.0716             2.20143             7.48409
             3.49429             1.02258            -3.18323
            0.464815            -3.45169            -3.58025
            0.297434           -0.914388            -3.37716
           -0.622904             3.83727            -2.97753
           -0.277393             1.26416            -1.83025
            -4.36127             -2.4756            -3.89168
           -0.023792           -0.121224            -11.3134
            -2.64014            0.132956             -2.0065
            0.408499             2.56791              5.0166
            -2.03564             4.60252            0.974468
            0.465017            -6.21051             7.74931
            -1.36927            -3.98258            -3.55027
             3.48596              3.7051             3.40184
             1.36437             2.42741             5.69205
            -4.19595             1.17481            -2.86215
             1.18673            -1.22145             4.13563
            -3.35231            -1.20517            -3.08572
            -2.87014            -0.19924            -3.72668
            -1.65637             2.23809              1.5862
           -0.141224           -0.748879             1.89662
            -4.91272           -0.656162            -2.13921
            0.653595            -1.43379            -4.23226
           -0.806461            0.496298             1.79181
           0.0201709            0.703917            -2.24246
            -3.14015            -2.08749             6.05466
            -1.32782             2.06588            -2.31963
            -2.97835            -1.06235            -2.17402
             1.68437            0.662487           -0.559378
             6.18041             2.20525            -5.10656
             2.93448            -3.19587            -4.96299
            -0.43345            -4.71208             3.77881
             3.89761            -2.30499             -3.3393
            -3.92135             4.63378             4.39457
             7.84411             1.57931             7.55453
             1.90537             1.24853            -2.68922
             2.35014            -2.55718             8.06924
             1.60413             1.27364            -3.80129
           -0.486976            0.594214             3.41799
             5.58773            -1.00651             2.09844
             1.37797            -1.30136             4.83462
            -2.97525             1.80221             1.15188
             2.48093             4.28246            -7.81041
             -0.6938            -2.36046            -5.40108
          -0.0763621           -0.734536            -2.79193
            0.397735            -1.42514            -2.13501
           -0.577129             1.47818             5.03367
           -0.222738              1.1583             6.53002
            0.448419             1.47804             1.73442
             4.14029           -0.534589            -5.85778
             1.02953            -1.58859            -3.74211
            0.378003             2.02837           -0.959141
             1.33378            -1.22092             3.58619
            0.613439           -0.888849            -2.61563
            -2.97936             0.52356             2.72344
          -0.0801927             1.19295            -2.00943
            -3.22134             3.39826            -4.79822
            0.958185            -3.14412             2.18737
            -6.03071           -0.891749             3.66926
           -0.658034             2.58201            -3.03478
             -1.6765             3.37626             3.56395
             3.84976            -2.52093             4.93159
            -0.23908            0.828781              4.6015
             1.96025             1.87032             4.83392
            -1.70116             -1.4696            -1.18063
            -3.43183              -1.981             -1.2706
             1.25912            -1.99088            -2.83326
             -4.2888             1.27013            -3.18648
             4.91266            -2.71695            -4.62933
             3.56362             2.29152             2.80087
             0.54532            -1.64946             -3.8654
             3.51014             1.47818            -2.61894
           0.0314447           -0.885617            -2.91698
          -0.0943564             1.24224            -2.51478
           0.0607796            0.889818            -2.59739
             1.75098            -1.88989            -2.10321
            0.824885           -0.267461            -3.06911
             3.19905            0.787499             3.79891
            -2.33661             2.58881            -8.89474
            -1.64899            0.815286            -5.15138
            -5.99367            -3.59438            -1.36987
            -2.44368           -0.168716            -2.36808
             1.71874            -1.25841            -2.11939
            0.405335           0.0258655             2.58947
            -1.59973            0.474111             2.92368
            -4.11306           -0.888717             2.75434
            0.161726             -4.5285             10.9917
             3.34574            0.475695            -2.84629
            -2.24247           -0.690714            -2.14546
            -5.58555             0.84311             2.37097
             4.09306             3.24973            -4.71415
            -1.17389           -0.609227             1.37313
            -4.14056            -5.85828             6.17508
            -3.39897            0.406654            -2.91142
             1.60655             1.22958            -3.13517
             2.30885             1.76443            -1.68633
             3.59325             -2.1182             4.09144
             4.29056             1.18422             5.25649
            -3.16824            0.446938            -6.45099
            -2.94501           -0.309349             3.22739
             2.38589            0.798551            -3.83871
             1.31412            -7.03117              -4.959
             3.27909             4.03408             3.50319
             2.12357             -1.3606            -7.48299
           0.0760133             4.59582             3.12929
             1.35732             1.92227            -2.43537
            0.276175           -0.422024            -3.32848
             2.74172             5.23077             5.53375
            -2.79133           -0.104098              5.3801
           -0.785707            0.637854             3.31229
            -6.29237             2.07599             4.35617
             1.13482             3.35457             5.04579
           -0.696874            0.656529             2.84564
            -2.49767           -0.298351            -1.59039
