                   x                   y                   z
                   0                   0                  20
           -0.678306            -3.68583             4.21632
             4.02373           0.0483009             3.56892
             1.59697            -0.63622            0.827948
           -0.376698            -1.00653            -2.51793
           -0.214824            -3.20821             1.95767
             3.43547            0.333313            -4.40564
             3.64482            -1.27803             3.36819
            -1.76123             1.32047             4.51464
            -1.11753             1.40087             4.65329
          -0.0838659          -0.0516965            -3.42434
            -1.78369            0.896935            -3.08752
             1.13454             1.76226            -2.00078
            -1.75081            -1.57118           -0.649021
             5.32122           -0.560814            -8.91488
             1.24254            -1.25852             5.13129
             4.45289            -2.33184            -3.62636
             1.55876          -0.0766628             1.68653
           -0.901814             1.85429            -6.36108
             -2.7325            -1.91101             6.25727
           -0.170274             1.09524             2.36032
            -1.10164            -3.22526             2.55501
            -1.63915             7.78715            -5.35001
           -0.345457             3.74343            -3.13083
             3.88011            -1.72611             2.62674
            0.317824             4.61551            -4.57416
             1.04887            -2.73616             2.08094
           -0.490785           -0.903009            -4.41328
            0.443245            0.266568            -3.74513
             3.58013            0.494133             3.76665
             3.66707             1.22112             6.62137
            -1.46371            0.284271            -2.21145
           -0.370266            -3.06031           -0.768289
             1.61227           -0.942597             3.29879
             1.43794            -2.05492             2.94896
             4.14793            0.266749             5.15781
             -4.3983             -3.1455             4.42348
           0.0394258             -1.3996           -0.936758
           -0.449914           -0.743076             -5.5428
           -0.340859            -1.35831             3.73356
            -3.71068            -5.60259            -1.92169
             1.22074            -3.78099             4.72828
           -0.202768             2.01685             3.26762
            -2.93302           -0.962843             2.10627
            -1.58757            0.273938             5.23922
            0.983396            0.806027            -4.43491
            -3.23958           -0.354193            -3.57583
            -3.45909             -3.6589            -3.70542
            -1.68325             2.09624            -2.56406
             1.40024            0.519337             4.20058
             0.84291            -0.17697             -5.8518
             1.36084            0.799934            0.680421
           -0.424553           -0.846177            -3.90943
            -1.72736             2.83087            -1.47837
             1.82671             3.48916              2.5249
             2.90831           -0.691852            -3.03015
             0.16831             2.45612            -2.10679
             1.32754            -1.51009             9.00875
             1.91991             -6.6966             5.12326
           -0.802578             2.34749             2.97233
             1.70883           -0.285613              3.3777
             2.39716            0.296717             1.01687
            -5.03586            -6.26805            -2.98995
            -0.18026            -1.07553            -2.35738
            -2.33135             -2.6423             1.23469
              2.9921            -1.03319             1.66994
          -0.0952987             2.35683            -1.20667
           -0.387575            -1.03129            -4.32847
             7.61806             3.92446             8.96299
            -3.45173            0.289415             6.69338
             1.35259             1.42019            -3.50519
             2.23767            -1.90639           -0.912488
           -0.829377             1.24843              2.5558
           -0.244179             3.28727            -1.92825
           0.0759156            -2.30383             4.65812
            0.670085             3.79247            -6.07588
            -6.33362            -2.90803            -8.23275
            -2.47269             2.16567            -1.65208
             1.19036             1.71889            -1.05405
             2.53795            0.387647             3.56564
           -0.469061            -2.23333            -4.75142
            -1.25286              5.9452              2.7075
             1.75752             2.63063             -3.3198
           -0.374023            -1.01403             3.36282
           -0.522044            0.181048             2.83597
            -2.13273             0.18474            -3.70662
            -2.92523           -0.204272             2.55719
            -2.57363           -0.261434            -5.13004
             1.39049            -1.23025             -2.4687
            0.907767             2.58751            -3.25386
            0.828177           -0.466622             2.76403
