                   x                   y                   z
             1.51006            -0.96947             18.9428
             3.55373            -5.04263              3.4086
             1.96955            0.694398             5.85776
            -2.26346             1.95372             2.72786
              5.1684           -0.971936            -3.35345
            0.494927            0.621935             4.38133
            0.842943           -0.296635             2.16939
            0.107596            -1.74042             4.67115
            -1.00227            -1.58666             -1.4161
             -1.2418             2.07539            -6.97668
          -0.0296977            0.752127             3.52196
            -1.14235            -1.45233             1.98341
            0.885644             1.22497             5.25323
             5.85447          -0.0524483             3.71056
            -1.15083             1.29463            -5.01696
            -1.01771           -0.311322            -3.48692
            -1.09843            0.585288             4.96887
            -1.70618            -5.53479             5.27026
              -1.196            0.752935             4.53101
            0.510335            -1.55802             3.25174
             1.86626             1.80598            -4.09222
            -3.76975            0.993445            -4.34056
             1.30587           -0.779559            -3.24752
             2.30814             4.75885            -7.83834
            -1.27278            0.785288           -0.845821
             3.74579          -0.0294728             1.73271
           -0.108963             1.70913             6.41756
            -1.04824             0.91403            0.575511
           -0.311538             2.32727            -4.49767
            0.125315           -0.376702            -2.21773
            0.730935            -2.96518            -3.38498
            0.973535            0.733089             2.56729
            -2.67725           0.0937182             3.15212
             2.13305             -1.4371            -1.67865
             1.15439           -0.339858             3.84533
            0.946483             1.06778            -1.29975
            0.774554            -2.26467            -1.39791
           -0.449611            -4.57273            -6.81858
            0.114074            0.224388            -1.19845
            -0.11752           -0.718975             4.16525
             1.84611            -1.73499            -1.53147
            -2.30208              1.8679            -2.88434
            0.331242             -1.3719             1.44194
             2.06756            0.159513            -3.43148
            -1.56152             5.03527            -7.74177
            -3.96953            -1.19081             -4.9374
            -2.06147             2.05225             3.62417
            0.769666            0.179174             2.24166
            -1.71025           -0.919479            -3.81864
              2.7288            0.788381             2.02385
            0.170227             1.79351           -0.731475
             2.07852            -3.85788            -6.18485
             1.32895            -3.68383            -4.56763
             -1.0825            -1.83006             1.63728
            -0.39321            -3.22119              2.2663
           0.0621746            -3.82228            -3.51954
            -2.21509            0.892214           -0.502005
            -1.38531             -1.0735           -0.809789
            -1.14793            -2.15446            -4.86901
           -0.131552            -1.51905           -0.957439
              3.7707            -1.89992               5.523
            -1.38875             1.47804            -5.77672
            -1.33066             2.13755            -4.82014
            0.751365             -1.8678             1.26085
            -2.67965           -0.418214            -5.15846
             3.67111            -1.40583             3.77162
            -2.84304            -1.01517            -7.05357
            -1.60626            -1.32439            -3.91829
             2.34517             0.13136             2.96997
             2.14682             2.10426            -4.72283
             1.01271           -0.745175             1.75929
            0.178454             4.52267             4.07151
            -1.42906           -0.975879            -3.59206
            -1.45936             2.06878            -4.44882
           -0.229113            -5.95722              2.8525
             2.74381           -0.276563             2.85463
            -3.56525            -2.08335             3.16748
            0.589894             2.92693             10.0112
            0.281024             1.39384              6.4819
              2.7815            -1.72993             -3.5651
            0.470358             1.78213             7.61676
             1.28957            0.390345              1.1296
           -0.962925             0.72907             1.86193
             1.33243           -0.767687             6.65011
             2.28642             3.40096             5.11638
             0.59237            0.906584              5.0943
           -0.948148           -0.475658            -3.17912
            -4.69821            -1.79862            -1.62638
            -5.73812             1.05435             -2.9709
            -2.14202               1.347             1.45016
             2.13962           -0.804057             1.98581
              1.7897          -0.0803069            -2.24798
            -2.26105            -1.41073             4.41461
             -4.5996           -0.161587             3.46117
            0.970122            0.262117             1.09811
             1.54712             2.31356             2.11199
            -1.74892             1.05701             2.94833
            0.690225           0.0546672              3.1377
           -0.735824            -3.50492             5.55375
            -1.76492          -0.0105056            -4.11846
            -1.76178              2.9276             3.69664
            0.335512            -2.44843            -2.45337
            -1.49184            0.883678            -4.87343
             2.89496             1.09228             6.87422
             1.15757            -3.44304             4.64386
             3.27774           -0.635178              2.6016
           -0.410355             2.02558            -3.96958
               -2.94           -0.516098             5.60162
             1.76105            -1.24983            0.787839
            0.727897             -2.9782             3.59444
            -2.76211            -1.48009            -3.79443
           -0.243576            0.407256             5.22758
           -0.913524           -0.717153            -1.12511
            0.274227           -0.957939             2.20384
            -3.53107             -1.6336            -1.93545
              2.3163            -5.31346            -3.77617
            -4.70753             -3.7349            -1.41416
            -5.95707            -2.10767             3.64774
            0.719119           -0.669222             5.21188
           -0.640898            0.783733            -5.55147
             0.53091            -2.53459           -0.785523
            -2.39061             0.50455            -1.69417
           0.0526491            -2.07992            -2.76332
            0.123162            -2.05926            -4.02703
            -2.30321           -0.627722             6.52503
            -1.28038            -1.88005             3.00902
             0.83965            -1.45307             2.82208
             2.51628             1.93609             2.44518
              1.3925           -0.662744              3.0965
             2.63704            -4.02953             2.57237
            -1.75237             0.59907             2.13191
             1.35158             1.45554            -2.94887
             -1.1576             1.09932            -2.68595
             1.49647            -3.72387            -3.44623
            -0.79905             2.50587             3.65416
           -0.724108            -3.65817             2.90059
           -0.511027             0.23997            -5.90375
             1.95011             2.30767             6.09375
            -1.56893             2.50431            -4.30914
          -0.0388413           -0.475219             2.70769
             2.00104              3.5397             4.90382
            -4.14704             1.96552             6.46116
           -0.766767            -1.23917             3.42916
           -0.499311            -1.30317            -1.99314
            0.559013            0.272936             4.86195
            -1.76956            -3.36563             6.43292
             1.30525            -3.12213             3.51161
          0.00181936           -0.211184            -4.64326
            -1.33812           -0.604775             4.63429
             2.25367            -1.60802            -2.71788
            -1.21832          -0.0922553            -5.90332
             4.45663           -0.179379             4.42943
            -3.15151           -0.904025            -6.89121
            0.246621             1.36083            -3.76278
            0.974537             2.23877             3.44797
            -3.17687            -1.86454            -7.19029
             -2.7653            0.534703            -3.84401
            -1.41166             2.72904              4.4356
            0.374341             1.74141            -2.63015
           -0.160352             3.28696            -4.00211
            -2.29297              1.2501             4.59108
