               block cumulative_averages         uncertainty
                   0                   0                   0
                   1             4.97992                   0
                   2             4.97359          0.00632689
                   3               4.975          0.00391542
                   4              4.9815          0.00706329
                   5             4.98889          0.00919359
                   6             4.98873           0.0075083
                   7             4.98641          0.00675673
                   8             4.98512          0.00599203
                   9             4.98501          0.00528547
                  10             4.97846          0.00807885
                  11             4.98189          0.00807147
                  12             4.98123          0.00739738
                  13             4.98315          0.00706846
                  14             4.98462          0.00670692
                  15             4.98451          0.00624469
                  16             4.98616          0.00606911
                  17             4.98925          0.00648733
                  18             4.99015          0.00618127
                  19             4.99023          0.00584751
                  20             4.98801          0.00597403
                  21             4.98752          0.00570356
                  22             4.98685          0.00547992
                  23             4.98698          0.00523801
                  24             4.98758          0.00505069
                  25             4.98738          0.00484854
                  26             4.98911          0.00496799
                  27             4.98908          0.00478054
                  28             4.99084          0.00492932
                  29             4.99065           0.0047599
                  30               4.991          0.00461138
                  31             4.99237          0.00466611
                  32             4.99256          0.00452202
                  33             4.99137           0.0045403
                  34              4.9924          0.00452274
                  35             4.99327          0.00447718
                  36             4.99418          0.00444569
                  37             4.99384           0.0043379
                  38             4.99429          0.00424641
                  39             4.99513          0.00422138
                  40             4.99445          0.00417145
                  41             4.99429           0.0040713
                  42             4.99416          0.00397549
                  43             4.99485          0.00394345
                  44             4.99534          0.00388318
                  45             4.99556          0.00380256
                  46             4.99548          0.00371976
                  47             4.99573          0.00364791
                  48             4.99455           0.0037589
                  49             4.99544          0.00378527
                  50             4.99572          0.00371991
                  51              4.9955          0.00365304
                  52             4.99508          0.00360657
                  53             4.99383          0.00375283
                  54              4.9942          0.00370135
                  55             4.99506          0.00373345
                  56             4.99628          0.00386292
                  57               4.997          0.00386339
                  58             4.99816          0.00396998
                  59             4.99827          0.00390343
                  60             4.99828          0.00383785
                  61             4.99787          0.00379632
                  62             4.99813          0.00374379
                  63             4.99763          0.00371768
                  64             4.99848          0.00375624
                  65             4.99845          0.00369818
                  66             4.99875          0.00365475
                  67             4.99924          0.00363225
                  68             4.99967          0.00360455
                  69             4.99955          0.00355408
                  70             4.99896           0.0035524
                  71              4.9986          0.00352066
                  72             4.99772          0.00357979
                  73             4.99755          0.00353479
                  74             4.99711          0.00351431
                  75             4.99674          0.00348681
                  76             4.99705          0.00345455
                  77             4.99735            0.003423
                  78             4.99741          0.00337934
                  79             4.99747          0.00333683
                  80             4.99757          0.00329633
                  81             4.99764          0.00325615
                  82             4.99768          0.00321649
                  83             4.99831          0.00323845
                  84             4.99941          0.00338347
                  85             4.99882          0.00339506
                  86             4.99897          0.00335871
                  87             4.99926          0.00333252
                  88             4.99918          0.00329526
                  89             4.99875           0.0032867
                  90             4.99879          0.00325018
                  91             4.99843          0.00323442
                  92             4.99823          0.00320517
                  93             4.99803            0.003177
                  94             4.99857          0.00319003
                  95             4.99911          0.00320228
                  96             4.99892          0.00317466
                  97              4.9992          0.00315432
                  98             4.99884          0.00314251
                  99             4.99839            0.003143
                 100             4.99864          0.00312125
