                   x                   y                   z
            0.745595           -0.280911           -0.253125
           -0.695624            0.804992           -0.972317
            0.570607            0.671946           -0.292837
           -0.239036           -0.883285            0.686479
            0.449014             0.11867             0.72601
           -0.833425          -0.0191028           -0.500981
           -0.990582           -0.226746           -0.820458
           0.0862897             -1.2688             0.71128
            0.338096           -0.514256            0.216291
            0.752033             0.22199           -0.916986
            -1.09536            0.732239            0.545155
            0.341399            0.241886           -0.522529
            -2.39748            -1.08812            -1.99173
             1.31735            0.519813             3.10901
           -0.191093           -0.484533           -0.592331
            -1.74683           -0.477882            0.628531
          -0.0143425           -0.194709            0.307149
            0.429754           -0.399576              1.2402
            0.672077           -0.213534           0.0619894
            0.841541           0.0981784            -1.09967
            -1.19067            -0.78497            0.485277
           -0.152804          -0.0617226            0.948559
            0.528346            -1.62231           -0.812238
           -0.184137             1.40183             1.12857
             1.24448           -0.966017            0.274455
            0.168344            0.485113            0.344505
            0.982899             1.20593            -0.14634
            0.628689           -0.541128            -1.71923
            0.757779           -0.396539            0.310836
           0.0503863             1.73289           -0.524688
            0.352482            0.288171            0.215531
            0.837724            -1.39017           -0.915146
            0.416886             1.19344           -0.506879
            -1.13638           -0.171541           -0.800721
            -0.10661            0.523631           -0.413225
            0.795006           -0.676469           -0.539653
             1.37436            0.110332             1.72728
           -0.647532            0.656014           -0.204565
           -0.762376            0.251674           -0.240781
            0.199262            0.561017           0.0109258
             1.66786           -0.349423           -0.422377
            0.946621          -0.0883153             2.07858
           0.0282073            0.664108          -0.0793306
             2.26776            -1.84549           -0.957494
            -1.30491             2.30404           -0.100531
            0.908825           -0.537359          -0.0776023
          -0.0744294           -0.151877            0.185416
            0.182491            -0.26463            -1.52624
            0.204217            0.415607            0.373616
             1.55472             0.52208             0.86231
          0.00746274            0.886356             0.30859
            0.059262           -0.626995           -0.481087
            -0.48286            -0.38419           -0.493262
             -1.8743            0.370384           -0.415416
           -0.217756            -0.13282            0.133402
            -1.10852           -0.207701           -0.259176
           -0.186314            0.295742            -1.45497
           0.0714851           -0.346143             1.10914
             3.48316            0.195337           -0.483733
             1.06052           -0.748913            0.397253
           -0.287866           -0.308071            0.127767
           -0.284825            0.523792            -0.17661
            0.237468           -0.729529             1.41605
           -0.445008             2.41831             -1.9993
           -0.516074            0.472123            0.204228
            -1.64054           -0.526232            0.410795
            -1.32638           -0.247689           0.0827514
             1.95647            -2.18976             2.14159
            0.506194           -0.343847           0.0189482
            -1.93962            0.327923            0.362092
            -1.02975             0.57535            -1.25804
            0.966981            0.296831            -0.46396
            0.732313           -0.387918            -2.83287
        -0.000103916             0.14688          0.00617739
           -0.799465            0.159327            -0.21027
            0.539031            0.470907            0.898025
            -1.02729            0.229309            0.144141
            0.330367            0.128583           -0.322231
          -0.0305104            0.732648            -1.24442
           -0.122617            -1.49359           -0.478063
            0.346431           -0.287994            0.408856
            0.515707            0.354214           -0.440436
           -0.310491             1.45204            0.930104
             -3.4944           -0.198477             2.21552
        -0.000794896           -0.887786            0.115099
           -0.757941           -0.155951             1.56456
             1.24422           -0.623014             -1.2256
            0.381391            -0.64889            -1.14862
            0.894481            0.500815            -1.21207
            0.818367            -0.10367            -2.44047
           -0.645524            0.123305           -0.123519
            0.311962          -0.0857007           -0.130686
           -0.267776           -0.975032            0.272084
         -0.00138106          -0.0469225            -1.12645
            0.668353           0.0224078            0.781992
            0.785417            -1.97246            0.432372
            0.607329            -1.26023            0.199869
           -0.306504        -0.000285495           -0.309165
           -0.274552            0.201611          -0.0501443
            0.119334            0.185579             1.00274
           -0.914086            0.698438            0.637893
           -0.357056           -0.667349            0.351989
           -0.929999            -2.29289            0.862303
            -0.54243             0.35598           0.0539007
           -0.312181            0.591245           -0.322448
           -0.504146           -0.615201            -1.26294
            -1.57083            -1.37997           -0.477174
            0.651748              3.0583            0.700986
             1.38381            0.872802            -1.66596
           -0.815248            -1.75603            -1.25249
          -0.0324281            -0.25122            -1.05163
             1.30478           -0.585301           0.0841732
            0.490427            0.166525             1.54048
           -0.157561             1.01605           -0.399231
             1.03356            0.226155           -0.101029
            0.453644            0.474173           -0.685558
            0.233353            0.847896             1.54471
             -2.8561             2.74774            -1.88413
            0.316595            -1.50422           -0.725698
           -0.474944           0.0797811           -0.143757
           -0.591718           -0.624009          -0.0865024
            0.211681            0.126398            0.108583
            0.642587             1.12771            0.478903
            0.237566           -0.896531           -0.328508
            -1.36942             2.62069            0.517486
             2.23579             1.94772            0.276602
           -0.747266            0.322128             1.48067
            -0.66126          -0.0549842            0.494552
            0.670082           -0.956866           -0.965975
           -0.340133            -1.87119           -0.771538
           -0.818831             1.84045            0.339102
           -0.546091           -0.467872           -0.455894
            0.850971            0.130494           -0.995121
            -0.68865             -1.0245             1.06375
           -0.546198              0.7071            0.607893
           0.0285647            0.116842            0.281941
            0.293882           -0.836656           -0.320451
           0.0195086             -1.8902             -1.7306
            -1.34504           -0.718281            0.529671
            0.113143            0.976631            -0.63776
              0.7643             0.18759           -0.384783
           -0.104454             2.71553            0.100324
            0.160226            0.156558           -0.608314
           -0.506906             1.55044            -1.46846
            0.904242             1.13673            -2.84742
            -1.43538             1.57656            0.659729
           -0.283953            -1.04226          -0.0133121
            0.117099            -1.22699            0.187953
            0.265737            -0.41624             -3.3385
           -0.102934           -0.107029           -0.312548
           -0.192819           -0.499879            0.412048
             1.33573           -0.755783           0.0929838
             3.40301             2.10527            0.385607
             1.23476             0.11876           -0.565143
             2.32895             1.86763           -0.371437
           -0.360601            -1.46988            -1.13922
            0.138052           -0.524055            0.749752
            0.865473           -0.230968           -0.156292
              1.3391           -0.967048            -1.71559
            0.371888            -1.55095             1.66506
             1.24045             1.44272            0.374588
            -1.01273             0.31549             1.49152
            -1.40113             2.24158             1.15925
             1.10716            0.838767             2.56462
           -0.770076            0.543339            0.898527
            0.175619           -0.616583            0.439667
             2.65706             2.28578            0.260053
             2.46471            -1.99985            -1.81242
            0.131137            0.579861              3.0008
            -1.07365           -0.780018           -0.943433
             1.09942            -1.32578            -1.35531
           -0.265488            -0.68181            0.880034
            -1.31629            0.852604            0.517781
           -0.201712           -0.188226           -0.655601
            0.207631           -0.239518            -1.53235
            -0.59776           0.0170846             1.08284
           -0.128369           -0.248296           -0.352555
            -2.38399             2.12196            0.254552
            0.182032           -0.443719             0.88816
            0.294983            0.720893           -0.221861
             2.26497           -0.666799           -0.788907
            -0.26614           -0.350479           -0.686822
            -1.01178            0.236462            0.411443
            -1.38186           -0.369223             -1.7605
            -1.16527            -2.00809             -0.6231
            -1.54161              1.2714             -1.6591
           0.0117066            0.119787           -0.365571
           -0.442138            0.208639           -0.115983
           0.0543521           0.0524346            -0.34083
            -1.65092           -0.793862           -0.543115
            -1.58354           -0.311956            0.338209
            0.632708             1.27833            0.434041
            0.393263            0.282546            -2.88964
          -0.0687315           0.0494707            0.352995
           -0.579799            -1.41456            0.735627
             1.45272            0.757986            -1.67838
            0.726016            0.144711           -0.285064
            -0.72548           -0.903057             1.02762
             2.85117            0.536453           -0.394115
           -0.602533           -0.153288            0.355796
            0.162115            0.109475            0.218787
             0.42108            0.402354           -0.672448
            -2.86864             2.49662           -0.262423
            0.655558            0.548704             0.90077
             2.28256           -0.758702            -1.30198
            0.138612           -0.939233           -0.572691
           -0.286851            0.874473             1.40646
            0.968575            0.586865             1.33928
            0.740862            0.976636            0.208247
            0.750209            -1.05441            0.950457
          -0.0732657           0.0526409           0.0946822
           -0.236635           -0.978314             0.45823
           -0.267991           -0.370043             0.53247
           -0.528139           -0.294274            0.656221
            0.266853            0.695193           -0.440889
             1.29684          0.00264713           -0.481289
            0.676421             1.17397            -1.95333
            0.788833            0.539506            0.260505
           -0.861458             1.21048              0.2756
           -0.268135            0.546624            -1.08297
            -1.38338            0.741417            0.572673
            -0.80837           -0.855244            0.316439
             1.09708            -3.07138           -0.649839
           -0.610642            0.269415           -0.128168
            0.207699           -0.470529           -0.418055
            -1.16383            0.576952           -0.122312
           -0.771056            0.409309               0.366
            -1.14724            0.100961             2.30135
            -1.49932            -1.03204            0.562847
           -0.109036           -0.306108            0.620907
            0.790957            0.567824             1.10733
             1.10555           -0.163224             1.03518
           -0.304216            -2.80455            -1.51061
            0.318511           -0.582891            0.681072
             0.99239             1.08123            0.256216
           0.0145683           -0.429561          -0.0661149
            -2.40327            -1.53567             1.36454
             -0.1033            -2.53613            0.185737
           -0.855849          -0.0605512             0.35188
            0.032172            -1.40849           -0.727103
            0.508715            -2.31578            -1.53458
            0.544444          -0.0537633            0.637153
            0.286986         -0.00789177          -0.0516076
            0.936837            -1.36437            -1.61832
            0.442367             1.38297           -0.660162
           -0.169439           -0.230336            0.359794
            0.212704             -2.0817           -0.630844
            0.162061            -0.29008             0.43432
           -0.718178             1.55828             1.83383
           -0.122868            0.218789           -0.621389
            -0.50778             0.22655           -0.760772
            -1.06964             1.15246            0.512066
           -0.209247            0.441118           -0.133045
            0.103246           -0.368787             1.31908
           -0.840576           -0.181214            0.377045
             0.22685            -2.27363              1.0273
            -1.51322            0.758923             1.56818
           -0.797654            -0.67468           -0.106076
          0.00287654            0.315446           -0.817962
            0.969338           -0.662774            0.249827
             2.16758           -0.731273             0.86309
             1.79356            0.884532            0.684956
            0.458767            0.778603            0.509135
           -0.360718           -0.371891             0.52087
            0.553434            0.458783           -0.573621
            -2.30251            0.654411             1.31574
            0.970196            -0.12186           -0.322622
           -0.726076           0.0468967            0.694549
             0.25546            -1.07896             -2.7408
            0.193788           -0.142088            0.756019
            0.784067           -0.539257            0.150408
            0.838191           -0.650278            -1.02337
            0.939692            -0.37286           -0.526754
           -0.431432           -0.220087          0.00185971
            0.493188           -0.929135            -1.08924
            0.913469            -1.43539            0.490609
            -1.98915           -0.583746           0.0516355
             -3.7293            -0.87654            -0.93233
           -0.363916           -0.514934            -1.26098
             -1.3494             1.41972            0.739352
           -0.406092          -0.0841372            0.107608
            0.453305             1.45354            0.506975
            0.720769            -0.89575           -0.247522
         -0.00947604           -0.434687          -0.0589732
             1.66456            -1.32004           -0.112031
            0.417292            0.454299            0.792796
             1.01531            -2.78016             1.64056
           -0.871083            -0.19365          -0.0550855
            0.157779          -0.0623575           -0.140875
            0.788004            -1.15871            0.539288
            -1.05574           -0.350944            0.730467
           -0.116364            -1.96302              1.6125
            0.434967           -0.198962            0.796572
            0.933225           -0.984142            0.750083
            0.581133          -0.0219455            0.430335
           -0.491341            0.947782           -0.418723
            0.532368             2.07479            0.975044
             1.05935           -0.418882           -0.370587
            0.570474           -0.233816            0.191099
            0.538387           0.0564904           -0.417179
          -0.0809227            -1.09359            -2.55087
            0.526563           -0.163345            0.479642
            0.511973             1.79327            0.540353
           -0.694618            0.080089            0.547017
           -0.176561             1.18903            0.896025
            -1.40971            0.367937             1.34799
           0.0911754             1.10008            -1.81817
             0.44097         -0.00621765            0.669269
             1.15568            0.511211             0.16186
            -2.16371            0.657829             1.09511
           -0.767016             2.30215            0.779303
         -0.00821083             1.15043             2.63443
           -0.435932           -0.932494            0.350133
            0.846052           0.0539714            0.300359
            0.701476           -0.329106            0.463672
           -0.095343            -3.31364             -1.3368
            -1.30302            0.318147           -0.902724
             0.47014             -2.8012              1.5041
           -0.711923            -1.64418           -0.842967
           -0.461092            -1.31847            -1.42716
            0.895167            0.904855             2.01743
            -0.73427            0.345383            -1.17326
           -0.796877            0.630023            0.357975
            -1.52921           -0.941241            0.327471
             2.83597            0.823817             1.27945
            -1.74565            0.401678            0.777418
          -0.0533738           -0.325993           -0.771625
             1.29231            0.341138           -0.861293
           -0.517816            -0.15721            -1.14265
            0.067921            0.282084          -0.0903901
            -0.47764             1.18153            -1.05469
              2.1325            -1.67436           -0.814879
           -0.313858           -0.519187            0.698543
            0.301317            -0.26253        -0.000765558
           -0.768896             4.29133             -2.7953
           -0.660028           0.0421627           -0.509818
            0.627873             2.04919             1.99088
            -1.46338            0.689643           -0.504328
           -0.364921            -1.32271           -0.393853
           -0.236286            0.035552             1.54353
             1.26137            0.357206                2.48
            -2.54502            0.963495            -1.96072
             0.44146           -0.275989            0.199209
           -0.321892           -0.142836           0.0983707
            0.676976            0.429016            0.906426
           -0.400599           0.0383326            0.295629
           0.0794584            0.428662           -0.458243
           0.0182888            -0.54872            0.460795
             1.40254           -0.539642            -1.22307
           0.0955191            0.314897            -1.35624
           -0.778212            0.348195            -1.05796
            0.953725            -1.40199            0.713732
            0.810705           -0.910021           0.0999415
             1.42447           -0.389169             1.59855
           -0.324997          -0.0658654            0.761366
             1.07338            -1.46245            -1.34347
            0.497775            0.614587            0.431713
              1.6315          -0.0805986            -1.07549
            0.290495            0.162578             0.55748
           -0.747959           -0.280647             1.20911
            0.022665           -0.754367           -0.188234
             1.57551           -0.533893           -0.246649
           -0.737009            -0.88624           -0.631464
            0.825741            0.325268            0.161718
           -0.460334            0.275428           -0.176311
           -0.476662            0.842258            -3.16616
            -2.11658            -5.93904            -3.29796
             1.03352            0.375943           -0.339516
           -0.149208            -1.03174             1.36979
            0.280655           -0.354309          -0.0313249
             1.65001           -0.190823             1.00665
           -0.534013            -1.93623            0.301328
           0.0945406            0.329415           0.0954153
           -0.743566           0.0610871           -0.273218
           -0.301064          -0.0617818            -2.44098
           -0.659947            -1.40398           -0.821915
            0.388339          -0.0598772           -0.161157
            0.958097           -0.902985           -0.117429
          -0.0645951             1.74169            0.806415
           -0.425718           -0.497347            0.834141
             1.04112          -0.0700039            -1.15819
            0.985625            -1.24928             -1.6488
            -1.26943           -0.302244           0.0284423
            0.317689            0.710441            0.485548
           -0.110787            -2.22901            -1.15156
           -0.143912           -0.282178           -0.035971
           -0.955674            -1.97814            0.680982
           -0.539994           -0.647205            0.432305
           0.0795726          -0.0521609            0.461891
           -0.741068            0.109532            0.714552
           -0.384665            -3.20836           0.0819931
             2.29449            0.214163           -0.761501
           -0.450125           -0.887292           -0.428447
            -0.51498            0.180179            0.552337
            0.418043           -0.420015            -0.68161
           -0.298307             1.20055           -0.506748
            0.117748           -0.345212           -0.369955
            0.295594           -0.580221            0.379202
           -0.734247           -0.436573           -0.492647
           -0.697783           -0.300377            0.749205
           -0.587706           -0.161281            -1.10446
             1.32171           0.0173358           -0.773197
            0.306788           -0.102177            -1.64875
            0.969088            0.688591            0.595846
            0.245555            -0.62612             1.26231
            -1.47355            -1.35471            -1.22498
            0.572814           -0.237397            -1.62302
             0.99567             1.48859            -1.18253
            0.681125           -0.759195            0.024021
             1.37245            -0.26229            0.866994
            0.892263            0.631169           -0.729492
            -1.68024             1.25352            0.505161
           -0.523254            -1.66699           -0.784121
             1.14206             1.76749            0.361442
            0.574032           -0.391308            0.205201
           -0.839232            -1.82754          -0.0604611
            0.756466            0.507574           -0.508095
             1.23896             1.08505          -0.0164811
             1.43691             2.26565            -1.58999
             1.17561           0.0985849            -2.02382
             1.07067            -1.38919            0.120914
           -0.438466           -0.508793             -1.8418
            -1.54321           -0.620882            0.771589
           -0.219604            -1.58837            -1.55981
            0.709739             1.11689            -1.57685
             0.23564             -0.2734           -0.710762
           -0.441042            -1.61824            -1.36539
            -1.85611            0.185027            0.811674
            0.659745            -1.47125           -0.825312
             1.30428             0.98482            0.658915
             1.27012           -0.683708            -0.65871
           -0.546838          -0.0274954            -1.03077
           -0.747881           -0.729899          -0.0655764
             1.23907            -1.39706            0.168966
            0.129122           -0.285278            0.100114
           -0.614808           -0.649754           -0.231182
           -0.148203           -0.635622            0.391035
           -0.191797            0.656414           -0.457632
            0.537005           -0.344282            -0.21779
           -0.646535           -0.507974            -1.28454
            0.854786            0.571953           -0.666689
           -0.265391            0.986279           -0.580662
            0.328518           -0.308527            0.366119
             2.20041            0.617554          -0.0285222
           -0.657068            0.140523           -0.557353
            0.233557            -0.21829            0.270653
            0.504149           -0.949809           -0.566632
             1.27878            0.401459            0.567962
            -2.37193            -1.64174           -0.108055
           -0.677585           -0.125594             0.16831
           -0.309709           0.0679616           -0.246611
            0.252972            -2.22131             1.36887
             -0.6817           -0.256384            0.294192
           -0.842019             1.37829            0.848433
            -1.09764            0.348132             0.13768
            -0.13884            0.428982            -0.72738
            0.122334            0.325564            0.369733
           -0.317083            -2.33622             1.49925
            0.501903             -0.9884            0.175203
           -0.497976            0.360634          -0.0566287
           -0.435951            0.429314            -1.03096
            -0.39284            -1.04401           -0.708413
            0.562849           -0.248202            0.397129
            0.076386           -0.301416           -0.132676
           -0.884228            -1.77307            0.468772
            -1.33521             3.15133             2.04451
