               block cumulative_averages         uncertainty
                   0                   0                   0
                   1             1.50096                   0
                   2             1.50771          0.00674693
                   3             1.50181          0.00707144
                   4              1.5038          0.00538412
                   5             1.50241          0.00439864
                   6              1.5017          0.00365984
                   7             1.49647           0.0060819
                   8             1.49316          0.00621842
                   9             1.49695           0.0066669
                  10              1.4966          0.00597343
                  11             1.49535          0.00554681
                  12             1.49452           0.0051309
                  13             1.49376          0.00478012
                  14             1.49439          0.00446982
                  15             1.49511          0.00422305
                  16             1.49541          0.00396199
                  17              1.4966          0.00390587
                  18             1.49611          0.00371411
                  19             1.49622          0.00351468
                  20             1.49609          0.00333662
                  21             1.49567          0.00320218
                  22             1.49574          0.00305404
                  23             1.49624          0.00296163
                  24             1.49693          0.00291674
                  25             1.49707          0.00280117
                  26             1.49766          0.00275487
                  27             1.49778          0.00265372
                  28             1.49762          0.00256213
                  29             1.49733          0.00248932
                  30             1.49695          0.00243432
                  31             1.49682          0.00235825
                  32             1.49654          0.00230037
                  33             1.49732          0.00236304
                  34             1.49719          0.00229607
                  35              1.4971          0.00223134
                  36             1.49753          0.00220908
                  37              1.4974          0.00215211
                  38             1.49753          0.00209864
                  39             1.49786          0.00207094
                  40             1.49811           0.0020332
                  41             1.49858          0.00203858
                  42             1.49824          0.00201768
                  43             1.49782          0.00201533
                  44             1.49783          0.00196901
                  45             1.49808          0.00194091
                  46             1.49828          0.00190916
                  47             1.49875           0.0019275
                  48             1.49888          0.00189144
                  49             1.49893          0.00185295
                  50             1.49894          0.00181553
                  51             1.49884          0.00178229
                  52             1.49881          0.00174783
                  53             1.49888          0.00171568
                  54             1.49894          0.00168494
                  55             1.49863           0.0016842
                  56             1.49866          0.00165425
                  57             1.49869          0.00162517
                  58             1.49843          0.00161818
                  59             1.49885           0.0016446
                  60             1.49933          0.00168825
                  61             1.49925           0.0016622
                  62             1.49937          0.00163958
                  63             1.49908          0.00164047
                  64             1.49955          0.00168428
                  65              1.4992          0.00169473
                  66             1.49903          0.00167761
                  67             1.49925          0.00166714
                  68             1.49937          0.00164679
                  69             1.49963          0.00164256
                  70              1.4996          0.00161911
                  71             1.49964          0.00159661
                  72             1.49988          0.00159259
                  73             1.50001          0.00157572
                  74             1.50011          0.00155728
                  75             1.50017          0.00153769
                  76             1.50009          0.00151951
                  77             1.49998          0.00150344
                  78             1.49993          0.00148503
                  79             1.49971          0.00148255
                  80             1.49954          0.00147348
                  81             1.49945          0.00145771
                  82             1.49941           0.0014404
                  83             1.49947          0.00142397
                  84             1.49958           0.0014113
                  85             1.49972          0.00140197
                  86             1.49963          0.00138848
                  87              1.4997          0.00137421
                  88             1.49953          0.00136975
                  89             1.49943          0.00135767
                  90             1.49932          0.00134686
                  91             1.49908           0.0013538
                  92             1.49888          0.00135374
                  93             1.49878          0.00134292
                  94             1.49882            0.001329
                  95             1.49894          0.00132069
                  96             1.49879          0.00131574
                  97             1.49894          0.00131158
                  98             1.49908          0.00130502
                  99             1.49921          0.00129838
                 100             1.49922          0.00128542
